"","bam.SRR_75_ngm_sorted.bam"
"AAC66638-1",2341
"AAC66636-1",854
"AAC66641-1",921
"AAC66640-1",1230
"AAC66691-1",1544
"AAC66685-1",796
"AAC66684-1",195
"AAC66683-1",3077
"AAC66690-1",673
"AAC66682-1",543
"AAC66681-1",6910
"AAC66680-1",903
"AAC66679-1",7785
"AAC66678-1",1268
"AAC66677-1",7293
"AAC66676-1",6072
"AAC66675-1",273
"AAC66674-1",136
"AAC66673-1",997
"AAC66672-1",1152
"AAC66671-1",1394
"AAC66670-1",3029
"AAC66669-1",1194
"AAC66668-1",4199
"AAC66667-1",1461
"AAC66666-1",388
"AAC66665-1",5919
"AAC66664-1",1040
"AAC66663-1",6053
"AAC66662-1",1671
"AAC66661-1",284
"AAC66660-1",1765
"AAC66659-1",1951
"AAC66658-1",3648
"AAC66657-1",10836
"AAC66656-1",1970
"AAC66655-1",4430
"AAC66654-1",2672
"AAC66653-1",1344
"AAC66652-1",490
"AAC66651-1",925
"AAC66650-1",566
"AAC66649-1",6616
"AAC66648-1",8284
"AAC66647-1",2437
"AAC66646-1",774
"AAC66645-1",2029
"AAC66644-1",548
"AAC66689-1",64
"AAC66643-1",562
"AAC66688-1",391
"AAC66687-1",294
"AAC66686-1",301
"AAC66699-1",1000
"AAC66698-1",927
"AAC66697-1",1942
"AAC66696-1",240
"AAC66704-1",199
"AAC66695-1",387
"AAC66694-1",253
"AAC66693-1",1658
"AAC66692-1",607
"AAC66702-1",108
"AAC66701-1",2836
"AAC66700-1",5251
"AAC66712-1",422
"AAC66711-1",2005
"AAC66710-1",4010
"AAC66709-1",2588
"AAC66708-1",2580
"AAC66706-1",2250
"AAC66728-1",190
"AAC66724-1",1843
"AAC66723-1",1142
"AAC66722-1",821
"AAC66721-1",2012
"AAC66719-1",7099
"AAC66718-1",2802
"AAC66717-1",5149
"AAC66727-1",665
"AAC66716-1",4533
"AAC66715-1",3719
"AAC66714-1",654
"AAC66713-1",1447
"AAC66726-1",890
"AAC66725-1",1187
"AAC66734-1",137
"AAC66733-1",9714
"AAC66741-1",1036
"AAC66732-1",555
"AAC66740-1",2473
"AAC66739-1",345
"AAC66738-1",1317
"AAC66737-1",2189
"AAC66731-1",2283
"AAC66730-1",744
"AAC66755-1",1926
"AAC66752-1",1235
"AAC66751-1",1397
"AAC66750-1",617
"AAC66749-1",929
"AAC66748-1",1835
"AAC66747-1",7395
"AAC66754-1",826
"AAC66746-1",1008
"AAC66745-1",774
"AAC66744-1",490
"AAC66743-1",1119
"AAC66742-1",877
"AAC66753-1",293
"AAC66766-1",1756
"AAC66764-1",454
"AAC66763-1",546
"AAC66762-1",365
"AAC66765-1",1130
"AAC66761-1",405
"AAC66760-1",2557
"AAC66759-1",3603
"AAC66758-1",1084
"AAC66757-1",2651
"AAC66756-1",1287
"AAB91505-1",1582
"AAB91504-1",14003
"AAB91503-1",16059
"AAB91502-1",25913
"AAB91500-1",3971
"AAC66774-1",1847
"AAC66773-1",2983
"AAC66772-1",2671
"AAC66771-1",3603
"AAC66770-1",1170
"EBG00001182603-1",224757
"AAC66769-1",6532
"EBG00001182619-1",208066
"AAC66779-1",1187
"AAC66778-1",1584
"AAC66777-1",278
"AAC66776-1",2057
"AAC66768-1",1527
"AAC66767-1",1927
"AAC66775-1",488
"AAC66796-1",618
"AAC66795-1",4452
"AAC66794-1",9228
"AAC66788-1",1281
"AAC66787-1",2335
"AAC66793-1",516
"AAC66791-1",334
"AAC66785-1",267
"AAC66784-1",293
"AAC66789-1",804
"AAC66783-1",970
"AAC66782-1",979
"AAC66790-1",3213
"AAC66781-1",1586
"AAC66780-1",4090
"EBG00001182607-1",3988248
"EBG00001182595-1",111645
"EBG00001182593-1",0
"EBG00001182587-1",0
"EBG00001182591-1",6641884
"EBG00001182594-1",223621
"EBG00001182592-1",0
"EBG00001182579-1",0
"AAC66798-1",1017
"AAC66797-1",1172
"EBG00001182606-1",733210
"EBG00001182604-1",588444
"EBG00001182611-1",176278
"AAC66812-1",3319
"AAC66807-1",326
"AAC66811-1",2456
"AAC66810-1",2036
"AAC66806-1",237
"AAC66805-1",379
"AAC66804-1",671
"AAC66803-1",17015
"AAC66802-1",11341
"AAB91515-1",1268
"AAB91514-1",2150
"AAB91513-1",717
"AAB91512-1",2885
"AAB91511-1",850
"AAB91509-1",1153
"AAB91508-1",1782
"AAB91507-1",7204
"AAB91506-1",3470
"AAC66821-1",1601
"AAC66820-1",197
"AAC66819-1",242
"AAC66818-1",490
"AAC66817-1",108
"AAC66823-1",551
"AAC66816-1",1055
"AAC66815-1",1845
"AAC66814-1",378
"AAC66822-1",521
"AAC66813-1",1146
"AAC66837-1",3651
"EBG00001182577-1",264251
"EBG00001182620-1",477152
"AAC66836-1",2289
"EBG00001182585-1",901680
"EBG00001182610-1",250035
"EBG00001182581-1",1164842
"AAC66831-1",2140
"AAC66830-1",480
"AAC66829-1",951
"AAC66835-1",844
"AAC66834-1",4169
"AAC66828-1",3245
"AAC66827-1",579
"AAC66826-1",1680
"AAC66825-1",424
"AAC66833-1",352
"AAC66832-1",2750
"AAC66824-1",1078
"AAC66867-1",405
"AAC66868-1",104
"AAC66866-1",17650
"AAC66865-1",3275
"AAC66864-1",4313
"AAC66863-1",1955
"AAC66862-1",1954
"AAC66861-1",5707
"AAC66860-1",2190
"AAC66859-1",2117
"AAC66858-1",1578
"AAC66857-1",929
"AAC66856-1",223
"AAC66855-1",262
"AAC66854-1",755
"AAC66853-1",392
"AAC66852-1",2373
"AAC66851-1",792
"AAC66850-1",954
"AAC66849-1",1666
"AAC66848-1",680
"AAC66847-1",2002
"AAC66846-1",401
"AAC66845-1",1359
"AAC66844-1",4363
"AAC66843-1",253
"AAC66842-1",1987
"AAC66841-1",2096
"AAC66840-1",4897
"AAC66839-1",2473
"AAC66875-1",5385
"AAC66874-1",1251
"AAC66880-1",600
"AAC66872-1",3031
"AAC66879-1",4777
"AAC66876-1",2286
"AAC66870-1",1632
"AAC66888-1",721
"AAC66887-1",5959
"AAC66886-1",912
"AAC66884-1",571
"AAC66883-1",1322
"AAC66893-1",1232
"AAC66882-1",211
"AAC66881-1",415
"AAC66903-1",8991
"AAC66902-1",325
"AAC66904-1",243
"AAC66901-1",4286
"EBG00001182599-1",601003
"EBG00001182578-1",2988576
"EBG00001182596-1",1086186
"AAC66900-1",334
"AAC66899-1",338
"AAC66898-1",2766
"AAC66897-1",19431
"AAC66915-1",6620
"AAC66912-1",3421
"AAC66911-1",2094
"AAC66914-1",373
"AAC66910-1",241
"AAC66909-1",1317
"AAC66913-1",86
"AAC66908-1",322
"AAC66907-1",827
"AAC66923-1",1290
"AAC66927-1",1287
"AAC66926-1",194
"AAC66925-1",600
"AAC66922-1",2475
"AAC66921-1",19059
"AAC66920-1",12537
"AAC66919-1",3656
"AAC66918-1",1254
"AAC66924-1",402
"AAC66940-1",1270
"AAC66939-1",731
"AAC66936-1",2572
"AAC66938-1",476
"AAC66935-1",4888
"AAC66934-1",4477
"AAC66937-1",3164
"AAC66933-1",3934
"EBG00001182584-1",595214
"AAC66932-1",645
"AAC66931-1",2176
"AAC66929-1",504
"AAC66946-1",1820
"AAC66948-1",492
"AAC66947-1",2546
"AAC66945-1",3421
"AAC66944-1",12233
"AAC66943-1",1487
"AAC66942-1",3700
"AAC66941-1",2425
"AAB91524-1",1579
"AAB91523-1",732
"AAB91522-1",2745
"AAB91521-1",247
"AAB91520-1",2588
"AAB91519-1",2653
"AAB91517-1",311
"AAB91516-1",1127
"AAC66960-1",1779
"AAC66957-1",5479
"AAC66956-1",1928
"AAC66959-1",278
"AAC66955-1",1885
"AAC66954-1",5864
"AAC66953-1",1699
"AAC66952-1",2826
"AAC66958-1",579
"AAC66951-1",1907
"AAC66950-1",1385
"AAC66949-1",11565
"AAC66970-1",1049
"AAC66969-1",1200
"AAC66968-1",1010
"AAC66967-1",1210
"AAC66966-1",2376
"EBG00001182580-1",3527482
"EBG00001182605-1",857987
"EBG00001182600-1",480319
"EBG00001182612-1",1285711
"AAC66965-1",5009
"AAC66964-1",4813
"AAC66963-1",8044
"AAC66962-1",5969
"AAC66971-1",1242
"AAC66961-1",15593
"EBG00001182588-1",1876998
"AAC66979-1",835
"AAC66980-1",222
"AAC66978-1",1032
"AAC66977-1",2076
"AAC66976-1",1257
"EBG00001182615-1",1211972
"AAC66975-1",1947
"AAC66974-1",962
"AAC66973-1",714
"AAC66990-1",1757
"AAC66988-1",1605
"EBG00001182583-1",1041701
"AAC66987-1",5176
"AAC66985-1",1322
"AAC66984-1",9398
"AAC66983-1",730
"AAC66989-1",5216
"EBG00001182586-1",392862
"AAC66982-1",174
"AAC66981-1",1268
"AAB91532-1",733
"AAB91531-1",1525
"AAB91530-1",2196
"AAB91529-1",1186
"AAB91528-1",274
"AAB91527-1",188
"AAB91526-1",401
"AAB91525-1",1844
"AAC67000-1",623
"AAC66999-1",449
"AAC66998-1",794
"AAC67003-1",1735
"AAC66997-1",1388
"AAC66995-1",48877
"AAC67002-1",2593
"AAC66994-1",1210
"AAC66993-1",8694
"AAC66992-1",3201
"AAC67001-1",9354
"AAC66991-1",315
"AAC67009-1",424
"AAC67008-1",957
"AAC67007-1",4753
"AAC67006-1",4488
"AAC67005-1",711
"AAC67015-1",5072
"AAC67014-1",844
"AAC67013-1",764
"AAC67012-1",1561
"AAC67011-1",1301
"AAC67010-1",1175
"AAC67004-1",1201
"AAC67025-1",8343
"AAC67024-1",3812
"AAC67023-1",4130
"AAC67022-1",1451
"AAC67021-1",1750
"AAC67020-1",120
"AAC67027-1",656
"AAC67026-1",465
"AAC67019-1",1151
"AAC67018-1",2130
"AAC67017-1",1357
"AAC67016-1",554
"AAC67037-1",23389
"AAC67036-1",18769
"AAC67035-1",3753
"AAC67034-1",8703
"AAC67033-1",3716
"AAC67032-1",1283
"AAC67031-1",905
"AAC67030-1",803
"AAC67029-1",2469
"EBG00001182582-1",967159
"AAC67038-1",507
"AAC67028-1",13352
"AAC67051-1",38763
"AAC67050-1",2522
"AAC67049-1",12592
"AAC67048-1",726
"AAC67047-1",970
"AAC67046-1",2489
"AAC67045-1",7273
"AAC67044-1",1478
"AAC67052-1",303
"AAC67043-1",356
"AAC67042-1",1126
"AAC67041-1",1028
"AAC67040-1",1493
"AAC67039-1",1596
"AAC67067-1",2814
"AAC67066-1",203
"EBG00001182589-1",214774
"EBG00001182614-1",410507
"AAC67063-1",1685
"AAC67061-1",6536
"AAC67060-1",2298
"EBG00001182618-1",30837
"AAC67064-1",1223
"AAC67059-1",5839
"AAC67058-1",495
"AAC67057-1",282
"AAC67056-1",825
"AAC67055-1",717
"AAC67075-1",164
"AAC67077-1",982
"AAC67072-1",2412
"AAC67071-1",1216
"AAC67070-1",6767
"AAC67069-1",1909
"AAC67068-1",2486
"AAC67084-1",976
"AAC67083-1",125
"AAC67082-1",2692
"AAC67086-1",759
"AAC67081-1",1080
"AAC67080-1",4728
"AAC67079-1",473
"AAC67078-1",2378
"AAC67093-1",223
"AAC67092-1",3155
"AAC67091-1",2477
"AAC67095-1",864
"AAC67090-1",6511
"EBG00001182576-1",268255
"EBG00001182617-1",1153684
"AAC67089-1",495
"AAC67088-1",321
"AAC67087-1",684
"AAC67094-1",668
"AAC67108-1",4686
"AAC67106-1",708
"AAC67099-1",865
"AAC67098-1",724
"AAC67104-1",275
"AAC67097-1",1490
"AAC67103-1",225
"EBG00001182598-1",476696
"AAC67102-1",1816
"AAC67101-1",377
"AAC67115-1",249
"AAC67118-1",288
"AAC67114-1",67
"AAC67113-1",123
"AAC67112-1",754
"AAC67111-1",493
"AAC67110-1",674
"AAC67109-1",385
"AET25121-1",359
"AAC67133-1",605
"AAC67138-1",72
"AAC67132-1",1474
"AAC67131-1",3374
"AAC67137-1",2958
"AAC67130-1",1212
"AAC67129-1",3853
"AAC67136-1",969
"AAC67128-1",497
"AAC67127-1",1531
"AAC67126-1",463
"AAC67135-1",576
"AAC67125-1",165
"AAC67124-1",5027
"EBG00001182601-1",975763
"AAC67123-1",7366
"AAC67122-1",2834
"AAC67121-1",2568
"AAC67120-1",27425
"AAC67134-1",1929
"AAC67141-1",1629
"AAC67144-1",412
"AAC67140-1",243
"AAC67139-1",7735
"AAC67142-1",855
"AAC67157-1",4700
"AAC67156-1",838
"AAC67155-1",1559
"AAC67154-1",3741
"AAC67153-1",6757
"AAC67152-1",4620
"AAC67151-1",2316
"AAC67150-1",2482
"AAC67149-1",19200
"AAC67160-1",1830
"AAC67148-1",500
"AAC67159-1",869
"AAC67147-1",1370
"AAC67146-1",3575
"AAC67158-1",1155
"AAC67145-1",670
"AAC67168-1",1066
"AAC67175-1",3157
"AAC67166-1",988
"AAC67165-1",595
"AAC67164-1",641
"AAC67174-1",336
"AAC67163-1",1555
"AAC67172-1",764
"AAC67171-1",1991
"AAC67170-1",2575
"AAC67169-1",78
"AAC67162-1",1884
"AAC67161-1",1867
"AAC67182-1",1252
"AAC67181-1",705
"AAC67180-1",3878
"AAC67183-1",1290
"AAC67179-1",3907
"AAC67178-1",1438
"AAC67177-1",197
"AAC67184-1",1812
"AAC67188-1",709
"AET25122-1",84
"AAC67187-1",144
"AAC67186-1",1171
"AAC67191-1",1230
"AAC67190-1",1039
"AAC67189-1",2523
"AAC67199-1",211
"AAC67192-1",355
"AAC66325-1",930
"AAC66334-1",889
"AAC66333-1",1468
"AAC66324-1",1901
"AAC66323-1",1075
"AAC66322-1",461
"AAC66321-1",878
"AAC66331-1",1411
"AAC66320-1",13760
"AAC66318-1",620
"AAC66317-1",209
"AAC66316-1",625
"AAC66315-1",7165
"AAC66314-1",4584
"AAC66313-1",9217
"AAC66329-1",23568
"AAC66328-1",18353
"AAC66327-1",5331
"AAC66339-1",551
"AAC66338-1",445
"AAC66337-1",649
"AAC66336-1",663
"AAC66335-1",857
"AAC66326-1",22526
"AAF07429-1",1022
"AAF07430-1",239
"AAF07431-1",137
"AAF07432-1",132
"AAF07403-1",225
"AAF07404-1",65
"AAF07405-1",114
"AAF07406-1",60
"AAF07407-1",76
"AAF07434-1",245
"AAF07435-1",27
"AAF07436-1",20
"AAF07437-1",18
"AAF07438-1",184
"AAF07439-1",212
"AAF07440-1",418
"AAF07441-1",129
"AAF07408-1",344
"AAF07409-1",465
"AAF07410-1",208
"AAF07411-1",966
"AAF07412-1",94
"AAF07413-1",227
"AAF07414-1",61
"AAF07415-1",181
"AAF07416-1",194
"AAF07417-1",401
"AAF07418-1",404
"AAF07419-1",1452
"AAF07420-1",173
"AAF07421-1",263
"AAF07422-1",86
"AAF07423-1",214
"AAF07424-1",463
"AAF07425-1",71
"AAF07426-1",183
"AAF07400-1",438
"AAF07401-1",915
"AAF07427-1",175
"AAF07428-1",106
"AAF07402-1",359
"AAF07474-1",73
"AAF07475-1",10
"AAF07476-1",6
"AAF07477-1",62
"AAF07463-1",0
"AAF07464-1",4
"AAF07465-1",0
"AAF07466-1",5
"AAF07467-1",7
"AAF07479-1",0
"AAF07480-1",0
"AAF07481-1",0
"AAF07482-1",0
"AAF07483-1",23
"AAF07484-1",58
"AAF07485-1",8
"AAF07486-1",0
"AAF07468-1",3
"AAF07469-1",2
"AAF07442-1",7
"AAF07444-1",0
"AAF07445-1",0
"AAF07446-1",50
"AAF07447-1",110
"AAF07470-1",33
"AAF07448-1",1650
"AAF07449-1",1594
"AAF07450-1",250
"AAF07452-1",1394
"AAF07453-1",123
"AAF07454-1",133
"AAF07456-1",295
"AAF07457-1",379
"AAF07458-1",75
"AAF07459-1",57
"AAF07460-1",268
"AAF07461-1",70
"AAF07473-1",37
"AAF07462-1",201
"AAF07516-1",33
"AAF07517-1",67
"AAF07518-1",104
"AAF07519-1",98
"AAF07490-1",86
"AAF07491-1",38
"AAF07492-1",43
"AAF07493-1",73
"AAF07494-1",55
"AAF07520-1",158
"AAF07521-1",20
"AAF07522-1",42
"AAF07523-1",9
"AAF07524-1",102
"AAF07525-1",159
"AAF07526-1",856
"AAF07527-1",130
"AAF07495-1",678
"AAF07496-1",664
"AAF07497-1",224
"AAF07498-1",409
"AAF07499-1",113
"AAF07500-1",0
"AAF07501-1",35
"AAF07502-1",125
"AAF07503-1",996
"AAF07504-1",319
"AAF07505-1",410
"AAF07506-1",1087
"AAF07507-1",133
"AAF07508-1",203
"AAF07509-1",93
"AAF07510-1",471
"AAF07511-1",127
"AAF07512-1",87
"AAF07487-1",210
"AAF07488-1",123
"AAF07514-1",138
"AAF07515-1",305
"AAF07489-1",306
"AAF07561-1",41
"AAF07562-1",22
"AAF07563-1",17
"AAF07564-1",31
"AAF07565-1",22
"AAF07551-1",19
"AAF07552-1",20
"AAF07553-1",18
"AAF07554-1",29
"AAF07555-1",30
"AAF07566-1",61
"AAF07567-1",6
"AAF07568-1",5
"AAF07569-1",8
"AAF07570-1",48
"AAF07571-1",70
"AAF07556-1",471
"AAF07557-1",29
"AAF07530-1",376
"AAF07531-1",206
"AAF07532-1",85
"AAF07534-1",178
"AAF07535-1",267
"AAF07536-1",132
"AAF07537-1",123
"AAF07538-1",30
"AAF07539-1",448
"AAF07540-1",164
"AAF07541-1",4431
"AAF07542-1",141
"AAF07543-1",250
"AAF07544-1",135
"AAF07545-1",93
"AAF07546-1",114
"AAF07547-1",78
"AAF07548-1",78
"AAF07549-1",247
"AAF07559-1",209
"AAF07560-1",69
"AAF07550-1",81
"AAF07602-1",428
"AAF07603-1",229
"AAF07604-1",113
"AAF07605-1",93
"AAF07583-1",212
"AAF07584-1",49
"AAF07585-1",33
"AAF07586-1",48
"AAF07587-1",67
"AAF07607-1",116
"AAF07608-1",25
"AAF07609-1",26
"AAF07610-1",5
"AAF07611-1",76
"AAF07612-1",48
"AAF07613-1",85
"AAF07614-1",78
"AAF07588-1",261
"AAF07589-1",288
"AAF07590-1",74
"AAF07591-1",440
"AAF07592-1",0
"AAF07593-1",103
"AAF07594-1",25
"AAF07595-1",184
"AAF07596-1",588
"AAF07597-1",774
"AAF07615-1",149
"AAF07572-1",1429
"AAF07573-1",44
"AAF07574-1",183
"AAF07575-1",70
"AAF07576-1",32
"AAF07577-1",170
"AAF07578-1",125
"AAF07579-1",59
"AAF07580-1",24
"AAF07581-1",158
"AAF07601-1",96
"AAF07582-1",147
"AAF07646-1",0
"AAF07647-1",0
"AAF07648-1",0
"AAF07649-1",0
"AAF07627-1",0
"AAF07628-1",0
"AAF07629-1",0
"AAF07630-1",0
"AAF07631-1",0
"AAF07651-1",0
"AAF07652-1",0
"AAF07653-1",0
"AAF07654-1",0
"AAF07655-1",0
"AAF07656-1",0
"AAF07657-1",0
"AAF07658-1",0
"AAF07632-1",154
"AAF07633-1",236
"AAF07634-1",0
"AAF07635-1",0
"AAF07636-1",0
"AAF07637-1",20
"AAF07638-1",8
"AAF07639-1",37
"AAF07640-1",954
"AAF07641-1",2675
"AAF07642-1",36
"AAF07616-1",2947
"AAF07617-1",112
"AAF07618-1",141
"AAF07620-1",890
"AAF07621-1",54
"AAF07622-1",0
"AAF07623-1",9
"AAF07624-1",0
"AAF07625-1",3
"AAF07644-1",1
"AAF07645-1",0
"AAF07626-1",31
"AAF07681-1",135
"AAF07682-1",42
"AAF07683-1",11
"AAF07684-1",21
"AAF07659-1",6
"AAF07660-1",2
"AAF07661-1",11
"AAF07662-1",15
"AAF07686-1",11
"AAF07687-1",3
"AAF07688-1",13
"AAF07689-1",481
"AAF07663-1",163
"AAF07664-1",651
"AAF07665-1",19
"AAF07666-1",3
"AAF07667-1",2
"AAF07668-1",48
"AAF07669-1",437
"AAF07670-1",970
"AAF07671-1",1456
"AAF07672-1",71
"AAF07673-1",145
"AAF07674-1",46
"AAF07675-1",70
"AAF07676-1",128
"AAF07677-1",171
"AAF07678-1",150
"AAF07679-1",646
"AAF07690-1",81
"AAF07692-1",25
"AAF07680-1",57
"AAC66310-1",2208
"AAC66302-1",267
"AAC66303-1",187
"AAC66304-1",592
"AAC66305-1",556
"AAC66312-1",108
"AAC66307-1",1821
"AAC66308-1",1043
"AET25324-1",10
"AAC66344-1",26
"AAC66343-1",54
"AET25325-1",15
"AAC66353-1",544
"AAC66352-1",247
"AAC66350-1",2097
"AAC66349-1",1101
"AAC66348-1",698
"AAC66346-1",620
"AAC66345-1",1137
"AAC66347-1",193
"AET25326-1",161
"AAC66355-1",380
"AAF07699-1",42
"AAF07700-1",588
"AAF07693-1",2407
"AAF07694-1",624
"AAF07695-1",64
"AAF07696-1",27
"AAF07702-1",12
"AAF07697-1",162
"AAF07703-1",1
"AAF07698-1",7
"AAC66027-1",1525
"AAC66050-1",709
"AAC66051-1",1266
"AAC66028-1",149
"AAC66029-1",524
"AAC66023-1",187
"AAC66024-1",6128
"AAC66025-1",219
"AAC66026-1",810
"AET25131-1",33
"AAC66369-1",17
"AAC66368-1",2900
"AAC66367-1",116
"AAC66382-1",92
"AET25132-1",23
"AAC66365-1",34
"AET25133-1",57
"AAC66376-1",324
"AAC66374-1",70
"AAC66373-1",300
"AAC66372-1",61
"AAC66371-1",317
"AET25134-1",13
"AET25135-1",1
"AET25136-1",368
"AAC66073-1",272
"AAC66053-1",30
"AAC66055-1",102
"AAC66056-1",244
"AAC66057-1",194
"AAC66077-1",425
"AAC66078-1",41
"AAC66063-1",14
"AAC66079-1",12
"AAC66064-1",21
"AAC66065-1",26
"AAC66066-1",8
"AAC66067-1",11
"AAC66068-1",39
"AAC66069-1",94
"AET25409-1",18
"AAC66070-1",42
"AAC66071-1",103
"AAC66072-1",91
"AAC66052-1",4
"AAC66080-1",9
"AAC66058-1",5
"AAC66081-1",10
"AAC66059-1",656
"AAC66082-1",47
"AAC66060-1",72
"AAC66061-1",160
"AAC66062-1",1664
"AAC66083-1",460
"AAC65992-1",32
"AAC65986-1",40
"AAC65991-1",19
"AAC65998-1",721
"AAC66000-1",126
"AET25416-1",97
"AET25417-1",6
"AAC65987-1",2860
"AAC66021-1",45
"AAC66012-1",49
"AAC66011-1",824
"AAC65993-1",93
"AAC65994-1",191
"AAC65995-1",92
"AAC65996-1",622
"AAC66014-1",79
"AAC66018-1",516
"AAC65988-1",25
"AAC65989-1",39
"AAC66211-1",51
"AAC66189-1",145
"AAC66190-1",99
"AAC66200-1",56
"AAC66202-1",39
"AAC66203-1",277
"AAC66205-1",4098
"AAC66184-1",736
"AAC66185-1",32
"AAC66186-1",322
