"","bam.SRR_75_ngm_sorted.bam"
"AAC66406-1",122
"AAC66400-1",232
"AAC66399-1",4960
"AAC66398-1",1209
"AAC66397-1",1430
"AAC66404-1",1709
"AAC66396-1",778
"AAC66403-1",231
"AAC66395-1",1069
"AAC66402-1",2449
"AAC66394-1",381
"AAC66401-1",607
"AAC66393-1",1007
"AAC66392-1",1216
"AAC66391-1",1609
"AAC66414-1",341
"AAC66416-1",926
"AAC66410-1",3671
"AAC66409-1",1375
"AAC66415-1",1966
"AAC66408-1",1047
"AAC66407-1",3470
"AAC66429-1",8982
"AAC66428-1",2600
"AAC66423-1",575
"AAC66422-1",203
"AAC66421-1",1959
"AAC66427-1",2212
"AAC66420-1",590
"AAC66426-1",12930
"AAC66419-1",1359
"AAC66418-1",2070
"AAC66417-1",654
"AAC66424-1",2111
"AAC66439-1",997
"AAC66437-1",761
"AAC66443-1",1836
"AAC66442-1",494
"AAC66436-1",1563
"AAC66435-1",2139
"AAC66434-1",1992
"EBG00001182602-1",570742
"AAC66441-1",373
"EBG00001182616-1",107402
"AAC66433-1",370
"AAC66432-1",1051
"AAC66431-1",630
"AAC66430-1",1917
"AAC66457-1",851
"AAC66452-1",4546
"AAC66451-1",15722
"AAC66450-1",28813
"AAC66456-1",4199
"AAC66449-1",3179
"AAC66448-1",1533
"AAC66447-1",2862
"AAC66455-1",705
"AAC66454-1",1938
"AAC66446-1",2429
"AAC66445-1",1255
"AAC66453-1",1920
"AAC66462-1",2559
"AAC66461-1",5511
"AAC66460-1",1475
"AAC66467-1",968
"AAC66466-1",223
"AAC66459-1",213
"AAC66459-2",1761
"AAC66465-1",450
"AAC66458-1",254
"AAC66474-1",207
"AAC66473-1",259
"AAC66477-1",1348
"AAC66476-1",678
"AAC66472-1",1382
"AAC66475-1",368
"AAC66471-1",1659
"AAC66470-1",4164
"AAC66469-1",12714
"AAC66490-1",5075
"AAC66487-1",2088
"AAC66485-1",834
"AAC66484-1",5018
"AAC66489-1",706
"AAC66482-1",1997
"AAC66488-1",1437
"AAC66481-1",1119
"AAC66480-1",556
"AAC66479-1",1042
"AAC66501-1",1866
"AAC66505-1",457
"AAC66504-1",521
"AAC66500-1",5961
"AAC66499-1",1118
"AAC66503-1",1863
"AAC66498-1",1996
"AAC66497-1",1850
"AAC66496-1",2442
"AAC66502-1",927
"AAC66495-1",5118
"AAC66494-1",1457
"AAC66493-1",1188
"AAC66492-1",1649
"AAC66491-1",2984
"AAC66516-1",2450
"AAC66515-1",501
"AAC66514-1",2058
"AAC66517-1",4573
"AAC66513-1",2983
"AAC66512-1",3393
"AAC66511-1",3384
"AAC66522-1",297
"AAC66521-1",1117
"AAC66520-1",1545
"AAC66510-1",5903
"AAC66509-1",3581
"AAC66508-1",1309
"AAC66519-1",312
"AAC66507-1",3943
"AAC66506-1",7062
"AAC66518-1",5189
"AAC66535-1",548
"AAC66531-1",1574
"AAC66530-1",1908
"AAC66529-1",7448
"AAC66534-1",95
"AAC66533-1",324
"AAC66527-1",2063
"AAC66532-1",1849
"AAC66526-1",661
"AAC66525-1",5294
"AAC66524-1",2822
"AAC66523-1",5944
"AAC66541-1",132592
"AAC66539-1",1798
"AAC66538-1",724
"AAC66537-1",3717
"AAC66536-1",5180
"AAC66544-1",2042
"AAC66543-1",235
"AAC66542-1",760
"AAC66550-1",2709
"AAC66555-1",1076
"AAC66549-1",294
"AAC66554-1",1273
"AAC66553-1",623
"AAC66552-1",3623
"AAC66548-1",250
"AAC66551-1",1158
"AAC66547-1",743
"AAC66563-1",1589
"AAC66562-1",1614
"AAC66561-1",865
"AAC66568-1",2526
"AAC66567-1",1507
"AAC66566-1",1532
"AAC66564-1",915
"AAC66560-1",1419
"AAC66559-1",3040
"AAC66558-1",228
"AAC66557-1",3624
"AAC66556-1",2407
"AAC66580-1",778
"AAC66577-1",266
"AAC66576-1",72
"AAC66575-1",171
"AAC66574-1",397
"AAC66584-1",1343
"AAC66572-1",876
"AAC66571-1",4611
"AAC66582-1",126
"AAC66581-1",204
"AAC66570-1",670
"AAC66569-1",1474
"AAC66591-1",1233
"AAC66590-1",1962
"AAC66589-1",1381
"AAC66588-1",2298
"EBG00001182590-1",269337
"AAC66587-1",2316
"AAC66586-1",723
"AAC66585-1",1275
"EBG00001182608-1",1526780
"EBG00001182613-1",476572
"AAC66601-1",1067
"AAC66597-1",590
"AAC66599-1",1129
"AAC66594-1",1263
"AAC66598-1",592
"EBG00001182597-1",29333
"AAC66613-1",3075
"AAC66610-1",1130
"AAC66609-1",2424
"AAC66608-1",4111
"AAC66607-1",1963
"AAC66606-1",5877
"AAC66605-1",2449
"AAC66604-1",3884
"AAC66603-1",1093
"AAC66602-1",792
"AAC66623-1",552
"AAC66622-1",2066
"AAC66625-1",375
"AAC66621-1",3221
"AAC66620-1",3495
"AAC66619-1",2988
"AAC66618-1",1197
"AAC66617-1",2341
"AAC66616-1",2909
"AAC66615-1",367
"AAC66614-1",1577
"AAC66624-1",4760
"AAC66631-1",3869
"AAC66635-1",11224
"AAC66630-1",610
"AAC66629-1",7340
"AAC66628-1",1134
"AAC66634-1",107
"AAC66627-1",1306
"AAC66626-1",1707
"AAC66633-1",924
"AAC66632-1",3008
"AAB91499-1",153
"AAB91498-1",1986
"AAB91497-1",351
"AAB91496-1",1532
"EBG00001182609-1",209133
"AAB91495-1",7283
"AAB91493-1",18221
"AAC66639-1",751
"AAC66642-1",483
