"","bam.SRR_76_ngm_sorted.bam"
"AAC66211-1",39
"AAC66189-1",166
"AAC66190-1",102
"AAC66200-1",57
"AAC66202-1",43
"AAC66203-1",309
"AAC66205-1",3042
"AAC66184-1",857
"AAC66185-1",42
"AAC66186-1",353
"AAC66187-1",49
"AAC66191-1",45
"AAC66219-1",432
"AAC66223-1",34
"AAC66195-1",237
"AAC66208-1",340
"AAC66209-1",1665
"AAC66210-1",178
"AAC66192-1",945
"AAC66147-1",1082
"AAC66153-1",343
"AAC66155-1",9
"AAC66132-1",4925
"AAC66133-1",265
"AAC66139-1",2818
"AAC66172-1",559
"AAC66141-1",452
"AAC66142-1",121
"AAC66174-1",3215
"AAC66143-1",373
"AAC66138-1",207
"AAC66134-1",3949
"AAC66160-1",79
"AAC66166-1",211
"AAC66167-1",1121
"AET25336-1",289
"AAC66144-1",1177
"AAC66178-1",366
"AAC66179-1",45
"AAC66145-1",9818
"AAC66182-1",929
"AAC66146-1",887
"AAC66169-1",371
"AAC66135-1",1437
"AET25337-1",8
"AAC66136-1",773
"AAC66137-1",1031
"AAC66096-1",4199
"AAC66084-1",2483
"AAC66098-1",58
"AAC66100-1",55
"AAC66086-1",254
"AAC66087-1",249
"AAC66088-1",238
"AAC66089-1",6652
"AET25406-1",32
"AET25407-1",15
"AAC66119-1",1145
"AAC66120-1",788
"AAC66121-1",249
"AAC66090-1",73
"AAC66122-1",581
"AAC66102-1",178
"AAC66103-1",85
"AAC66105-1",1011
"AAC66108-1",2243
"AAC66110-1",5819
"AAC66111-1",47
"AAC66091-1",1181
"AAC66124-1",3
"AAC66125-1",32
"AAC66127-1",531
"AAC66128-1",235
"AAC66129-1",245
"AAC66130-1",507
"AAF08550-1",8
"AAF08546-1",0
"AAF08551-1",7
"AET25427-1",118
"AAF08548-1",10
"AAF08549-1",4
"AAC66227-1",2324
"AAC66228-1",178
"AAC66229-1",248
"AAC66230-1",1217
"AAC66231-1",1492
"AAC66232-1",818
"AAC66233-1",388
"AAC66234-1",458
"AAC66235-1",17
"AAC66236-1",142
"AAC66260-1",52237
"AAC66243-1",49518
"AAC66246-1",1209
"AAC66247-1",358
"AAC66248-1",242
"AAC66249-1",2387
"AAC66250-1",1664
"AAC66244-1",1751
"AAC66296-1",996
"AAC66261-1",458
"AAC66293-1",71
"AAC66297-1",225
"AAC66262-1",807
"AAC66263-1",2392
"AAC66299-1",221
"AAC66300-1",2594
"AAC66276-1",698
"AAC66251-1",642
"AAC66252-1",171
"AAC66253-1",296
"AAC66254-1",105
"AAC66278-1",371
"AAC66279-1",131
"AAC66280-1",153
"AAC66281-1",38
"AAC66283-1",139
"AAC66237-1",513
"AAC66266-1",61
"AAC66267-1",50
"AAC66270-1",332
"AAC66271-1",789
"AAC66238-1",5614
"AAC66239-1",468
"AAC66240-1",1882
"AAC66241-1",11722
"AAC66255-1",4157
"AAC66284-1",290
"AAC66256-1",4193
"AAC66286-1",6196
"AAC66287-1",2602
"AET25328-1",691
"AAC66257-1",3994
"AAC66258-1",7370
"AAC66242-1",1594
"AAF07705-1",301
"AAF07706-1",234
"AAF07707-1",2018
"AAF07708-1",21849
"AAF07709-1",38
"AAF07710-1",58
"AAF07740-1",49
"AAF07711-1",115
"AAF07712-1",22
"AAF07713-1",45
"AAF07714-1",50
"AAF07741-1",204
"AAF07742-1",7
"AAF07743-1",2
"AAF07744-1",0
"AAF07745-1",86
"AAF07746-1",50
"AAF07747-1",691
"AAF07748-1",13
"AAF07715-1",82
"AAF07716-1",15
"AAF07717-1",5
"AAF07718-1",66
"AAF07719-1",0
"AAF07720-1",21
"AAF07721-1",0
"AAF07722-1",66
"AAF07723-1",541
"AAF07724-1",247
"AAF07725-1",283
"AAF07726-1",4171
"AAF07727-1",65
"AAF07728-1",237
"AAF07730-1",36
"AAF07731-1",86
"AAF07732-1",57
"AAF07733-1",84
"AAF07734-1",404
"AAF07751-1",110
"AAF07752-1",54
"AAF07735-1",75
"AAF07753-1",46
"AAF07754-1",116
"AET25424-1",104
"AAF07761-1",12
"AAF07736-1",304
"AET25425-1",25
"AAF07737-1",22
"AAF07774-1",45
"AAF07775-1",6
