"","bam.SRR_79_ngm_sorted.bam"
"AAC66406-1",139
"AAC66400-1",327
"AAC66399-1",5595
"AAC66398-1",1354
"AAC66397-1",1599
"AAC66404-1",2268
"AAC66396-1",759
"AAC66403-1",242
"AAC66395-1",1317
"AAC66402-1",2885
"AAC66394-1",326
"AAC66401-1",508
"AAC66393-1",830
"AAC66392-1",921
"AAC66391-1",1659
"AAC66414-1",278
"AAC66416-1",502
"AAC66410-1",3250
"AAC66409-1",1246
"AAC66415-1",1953
"AAC66408-1",846
"AAC66407-1",3460
"AAC66429-1",8007
"AAC66428-1",1902
"AAC66423-1",271
"AAC66422-1",223
"AAC66421-1",2502
"AAC66427-1",2107
"AAC66420-1",473
"AAC66426-1",12979
"AAC66419-1",1023
"AAC66418-1",1422
"AAC66417-1",576
"AAC66424-1",2441
"AAC66439-1",1068
"AAC66437-1",834
"AAC66443-1",1694
"AAC66442-1",487
"AAC66436-1",1508
"AAC66435-1",2008
"AAC66434-1",1180
"EBG00001182602-1",432538
"AAC66441-1",327
"EBG00001182616-1",102829
"AAC66433-1",478
"AAC66432-1",1290
"AAC66431-1",747
"AAC66430-1",1436
"AAC66457-1",472
"AAC66452-1",4064
"AAC66451-1",13227
"AAC66450-1",28889
"AAC66456-1",2838
"AAC66449-1",2532
"AAC66448-1",1638
"AAC66447-1",2609
"AAC66455-1",503
"AAC66454-1",1517
"AAC66446-1",1520
"AAC66445-1",986
"AAC66453-1",958
"AAC66462-1",2351
"AAC66461-1",3979
"AAC66460-1",899
"AAC66467-1",755
"AAC66466-1",143
"AAC66459-1",146
"AAC66459-2",1476
"AAC66465-1",279
"AAC66458-1",178
"AAC66474-1",153
"AAC66473-1",187
"AAC66477-1",1479
"AAC66476-1",750
"AAC66472-1",1519
"AAC66475-1",410
"AAC66471-1",1677
"AAC66470-1",3249
"AAC66469-1",7893
"AAC66490-1",5857
"AAC66487-1",809
"AAC66485-1",466
"AAC66484-1",3169
"AAC66489-1",596
"AAC66482-1",1846
"AAC66488-1",1374
"AAC66481-1",907
"AAC66480-1",641
"AAC66479-1",1398
"AAC66501-1",2204
"AAC66505-1",352
"AAC66504-1",267
"AAC66500-1",3908
"AAC66499-1",656
"AAC66503-1",1281
"AAC66498-1",1967
"AAC66497-1",2329
"AAC66496-1",2423
"AAC66502-1",963
"AAC66495-1",4242
"AAC66494-1",1271
"AAC66493-1",1288
"AAC66492-1",1692
"AAC66491-1",3349
"AAC66516-1",2167
"AAC66515-1",409
"AAC66514-1",1311
"AAC66517-1",2208
"AAC66513-1",1822
"AAC66512-1",2210
"AAC66511-1",2475
