"","bam.SRR_79_ngm_sorted.bam"
"AAC66522-1",141
"AAC66521-1",818
"AAC66520-1",1364
"AAC66510-1",5130
"AAC66509-1",2956
"AAC66508-1",905
"AAC66519-1",214
"AAC66507-1",3461
"AAC66506-1",5609
"AAC66518-1",4856
"AAC66535-1",628
"AAC66531-1",1824
"AAC66530-1",1872
"AAC66529-1",9017
"AAC66534-1",163
"AAC66533-1",174
"AAC66527-1",832
"AAC66532-1",1021
"AAC66526-1",561
"AAC66525-1",3410
"AAC66524-1",2649
"AAC66523-1",4336
"AAC66541-1",149109
"AAC66539-1",2148
"AAC66538-1",637
"AAC66537-1",3378
"AAC66536-1",4299
"AAC66544-1",2258
"AAC66543-1",252
"AAC66542-1",823
"AAC66550-1",2433
"AAC66555-1",1044
"AAC66549-1",323
"AAC66554-1",1521
"AAC66553-1",603
"AAC66552-1",3428
"AAC66548-1",264
"AAC66551-1",1135
"AAC66547-1",728
"AAC66563-1",1612
"AAC66562-1",1395
"AAC66561-1",828
"AAC66568-1",1373
"AAC66567-1",1080
"AAC66566-1",1092
"AAC66564-1",700
"AAC66560-1",1285
"AAC66559-1",2606
"AAC66558-1",226
"AAC66557-1",3391
"AAC66556-1",2448
"AAC66580-1",1059
"AAC66577-1",236
"AAC66576-1",41
"AAC66575-1",115
"AAC66574-1",320
"AAC66584-1",1241
"AAC66572-1",627
"AAC66571-1",5108
"AAC66582-1",129
"AAC66581-1",270
"AAC66570-1",913
"AAC66569-1",2416
"AAC66591-1",1199
"AAC66590-1",2217
"AAC66589-1",962
"AAC66588-1",1894
"EBG00001182590-1",266310
"AAC66587-1",2321
"AAC66586-1",826
"AAC66585-1",1302
"EBG00001182608-1",1397936
"EBG00001182613-1",432748
"AAC66601-1",1023
"AAC66597-1",581
"AAC66599-1",1033
"AAC66594-1",1071
"AAC66598-1",567
"EBG00001182597-1",32113
"AAC66613-1",2885
"AAC66610-1",1158
"AAC66609-1",3042
"AAC66608-1",3840
"AAC66607-1",2124
"AAC66606-1",4228
"AAC66605-1",2432
"AAC66604-1",2718
"AAC66603-1",898
"AAC66602-1",724
"AAC66623-1",634
"AAC66622-1",2236
"AAC66625-1",493
"AAC66621-1",3689
"AAC66620-1",3428
"AAC66619-1",2028
"AAC66618-1",877
"AAC66617-1",1814
"AAC66616-1",3088
"AAC66615-1",319
"AAC66614-1",1222
"AAC66624-1",3569
"AAC66631-1",3329
"AAC66635-1",15877
"AAC66630-1",783
"AAC66629-1",8494
"AAC66628-1",1546
"AAC66634-1",86
"AAC66627-1",1072
"AAC66626-1",1076
"AAC66633-1",498
"AAC66632-1",1980
"AAB91499-1",114
"AAB91498-1",1793
"AAB91497-1",358
"AAB91496-1",1892
"EBG00001182609-1",129805
"AAB91495-1",5273
"AAB91493-1",19807
"AAC66639-1",738
"AAC66642-1",472
"AAC66638-1",3233
"AAC66636-1",918
"AAC66641-1",849
"AAC66640-1",1294
"AAC66691-1",1746
"AAC66685-1",636
"AAC66684-1",196
"AAC66683-1",2774
"AAC66690-1",478
"AAC66682-1",482
"AAC66681-1",5627
"AAC66680-1",660
"AAC66679-1",6934
"AAC66678-1",599
"AAC66677-1",4797
"AAC66676-1",5244
"AAC66675-1",142
"AAC66674-1",69
"AAC66673-1",626
"AAC66672-1",469
"AAC66671-1",670
"AAC66670-1",2553
"AAC66669-1",1092
"AAC66668-1",3660
"AAC66667-1",1169
"AAC66666-1",232
"AAC66665-1",5276
"AAC66664-1",886
"AAC66663-1",7000
"AAC66662-1",1554
"AAC66661-1",187
"AAC66660-1",1047
"AAC66659-1",1130
"AAC66658-1",2469
"AAC66657-1",7404
"AAC66656-1",1580
"AAC66655-1",4545
"AAC66654-1",2903
"AAC66653-1",788
"AAC66652-1",248
"AAC66651-1",578
"AAC66650-1",527
"AAC66649-1",6841
"AAC66648-1",7295
"AAC66647-1",2311
"AAC66646-1",687
"AAC66645-1",1445
"AAC66644-1",254
"AAC66689-1",17
"AAC66643-1",335
"AAC66688-1",222
"AAC66687-1",208
"AAC66686-1",242
"AAC66699-1",685
"AAC66698-1",802
"AAC66697-1",1997
"AAC66696-1",241
"AAC66704-1",158
"AAC66695-1",274
"AAC66694-1",153
"AAC66693-1",969
"AAC66692-1",277
"AAC66702-1",59
"AAC66701-1",2504
"AAC66700-1",7071
"AAC66712-1",474
"AAC66711-1",1818
"AAC66710-1",2585
"AAC66709-1",1816
"AAC66708-1",2931
"AAC66706-1",2693
"AAC66728-1",304
"AAC66724-1",2414
"AAC66723-1",1547
"AAC66722-1",1127
"AAC66721-1",2062
"AAC66719-1",7176
"AAC66718-1",1655
"AAC66717-1",4794
"AAC66727-1",324
"AAC66716-1",2783
"AAC66715-1",2551
"AAC66714-1",511
"AAC66713-1",806
"AAC66726-1",707
"AAC66725-1",1377
"AAC66734-1",127
"AAC66733-1",9473
"AAC66741-1",817
"AAC66732-1",491
"AAC66740-1",2550
"AAC66739-1",360
"AAC66738-1",794
"AAC66737-1",1495
"AAC66731-1",1540
"AAC66730-1",677
"AAC66755-1",2038
"AAC66752-1",934
"AAC66751-1",1132
"AAC66750-1",391
"AAC66749-1",916
"AAC66748-1",1931
"AAC66747-1",7540
"AAC66754-1",716
"AAC66746-1",892
"AAC66745-1",649
"AAC66744-1",365
"AAC66743-1",972
"AAC66742-1",983
"AAC66753-1",340
"AAC66766-1",1673
"AAC66764-1",337
"AAC66763-1",341
"AAC66762-1",184
"AAC66765-1",880
"AAC66761-1",260
"AAC66760-1",2116
"AAC66759-1",2895
"AAC66758-1",1066
"AAC66757-1",2821
"AAC66756-1",1629
"AAB91505-1",996
"AAB91504-1",7235
"AAB91503-1",14327
"AAB91502-1",13844
"AAB91500-1",3419
"AAC66774-1",1583
"AAC66773-1",2271
"AAC66772-1",2658
"AAC66771-1",3326
"AAC66770-1",1033
"EBG00001182603-1",192066
"AAC66769-1",5409
"EBG00001182619-1",240763
"AAC66779-1",770
"AAC66778-1",1267
"AAC66777-1",154
"AAC66776-1",1561
"AAC66768-1",1351
"AAC66767-1",1493
"AAC66775-1",388
"AAC66796-1",582
"AAC66795-1",3448
"AAC66794-1",3930
"AAC66788-1",1150
"AAC66787-1",2540
"AAC66793-1",573
"AAC66791-1",323
"AAC66785-1",327
"AAC66784-1",350
"AAC66789-1",887
"AAC66783-1",774
"AAC66782-1",786
"AAC66790-1",3006
"AAC66781-1",1173
"AAC66780-1",3567
"EBG00001182607-1",3418538
"EBG00001182595-1",93465
"EBG00001182593-1",0
"EBG00001182587-1",0
"EBG00001182591-1",5783126
"EBG00001182594-1",189186
"EBG00001182592-1",0
"EBG00001182579-1",0
"AAC66798-1",1046
"AAC66797-1",1360
"EBG00001182606-1",728019
"EBG00001182604-1",654351
"EBG00001182611-1",136197
"AAC66812-1",4210
"AAC66807-1",322
"AAC66811-1",3153
"AAC66810-1",2055
"AAC66806-1",263
"AAC66805-1",468
"AAC66804-1",717
"AAC66803-1",9621
"AAC66802-1",9565
"AAB91515-1",1189
"AAB91514-1",1598
"AAB91513-1",642
"AAB91512-1",1579
"AAB91511-1",566
"AAB91509-1",660
"AAB91508-1",1091
"AAB91507-1",5884
"AAB91506-1",3613
"AAC66821-1",1386
"AAC66820-1",172
"AAC66819-1",204
"AAC66818-1",477
"AAC66817-1",159
"AAC66823-1",460
"AAC66816-1",977
"AAC66815-1",2522
"AAC66814-1",288
"AAC66822-1",342
"AAC66813-1",982
"AAC66837-1",1199
"EBG00001182577-1",245986
"EBG00001182620-1",388676
"AAC66836-1",2239
"EBG00001182585-1",617122
"EBG00001182610-1",261290
"EBG00001182581-1",1037680
"AAC66831-1",2143
"AAC66830-1",511
"AAC66829-1",990
"AAC66835-1",883
"AAC66834-1",3271
"AAC66828-1",2370
"AAC66827-1",494
"AAC66826-1",1192
"AAC66825-1",234
"AAC66833-1",227
"AAC66832-1",2217
"AAC66824-1",636
"AAC66867-1",415
"AAC66868-1",135
"AAC66866-1",17701
"AAC66865-1",3382
"AAC66864-1",3359
"AAC66863-1",1283
"AAC66862-1",1678
"AAC66861-1",4507
"AAC66860-1",2108
"AAC66859-1",1587
"AAC66858-1",1194
"AAC66857-1",821
"AAC66856-1",162
"AAC66855-1",217
"AAC66854-1",575
"AAC66853-1",390
"AAC66852-1",2073
"AAC66851-1",692
"AAC66850-1",913
"AAC66849-1",1313
"AAC66848-1",645
"AAC66847-1",1616
"AAC66846-1",306
"AAC66845-1",1253
"AAC66844-1",4104
"AAC66843-1",251
"AAC66842-1",1768
"AAC66841-1",1714
"AAC66840-1",4135
"AAC66839-1",2010
"AAC66875-1",4409
"AAC66874-1",1147
"AAC66880-1",737
"AAC66872-1",2411
"AAC66879-1",3994
"AAC66876-1",1611
"AAC66870-1",1173
"AAC66888-1",705
"AAC66887-1",5242
"AAC66886-1",825
"AAC66884-1",646
"AAC66883-1",1487
"AAC66893-1",1324
"AAC66882-1",213
"AAC66881-1",417
"AAC66903-1",8040
"AAC66902-1",227
"AAC66904-1",181
"AAC66901-1",3278
"EBG00001182599-1",437590
"EBG00001182578-1",1887544
"EBG00001182596-1",780731
"AAC66900-1",329
"AAC66899-1",236
"AAC66898-1",2102
"AAC66897-1",15307
"AAC66915-1",10480
"AAC66912-1",2827
"AAC66911-1",1734
"AAC66914-1",520
"AAC66910-1",60
"AAC66909-1",495
"AAC66913-1",75
"AAC66908-1",395
"AAC66907-1",849
"AAC66923-1",1255
"AAC66927-1",978
"AAC66926-1",141
"AAC66925-1",475
"AAC66922-1",1671
"AAC66921-1",12807
"AAC66920-1",6380
"AAC66919-1",4047
"AAC66918-1",1247
"AAC66924-1",347
"AAC66940-1",864
"AAC66939-1",531
"AAC66936-1",1610
"AAC66938-1",409
"AAC66935-1",2886
"AAC66934-1",3825
"AAC66937-1",2026
"AAC66933-1",2939
"EBG00001182584-1",548657
"AAC66932-1",584
"AAC66931-1",2149
"AAC66929-1",416
"AAC66946-1",1395
"AAC66948-1",480
"AAC66947-1",3128
"AAC66945-1",3622
"AAC66944-1",7652
"AAC66943-1",899
"AAC66942-1",1559
"AAC66941-1",1547
"AAB91524-1",1723
"AAB91523-1",830
"AAB91522-1",2742
"AAB91521-1",188
"AAB91520-1",2591
"AAB91519-1",2598
"AAB91517-1",327
"AAB91516-1",1041
"AAC66960-1",1472
"AAC66957-1",4678
"AAC66956-1",1894
"AAC66959-1",311
"AAC66955-1",2304
"AAC66954-1",6068
"AAC66953-1",1265
"AAC66952-1",2856
"AAC66958-1",532
"AAC66951-1",1732
"AAC66950-1",857
"AAC66949-1",10820
"AAC66970-1",1523
"AAC66969-1",1234
"AAC66968-1",992
"AAC66967-1",1184
"AAC66966-1",2896
"EBG00001182580-1",2487579
"EBG00001182605-1",661932
"EBG00001182600-1",331782
"EBG00001182612-1",1188892
"AAC66965-1",5269
"AAC66964-1",3349
"AAC66963-1",6912
"AAC66962-1",3225
"AAC66971-1",488
"AAC66961-1",12030
"EBG00001182588-1",1634427
"AAC66979-1",978
"AAC66980-1",278
"AAC66978-1",1005
"AAC66977-1",1859
"AAC66976-1",1265
"EBG00001182615-1",1152356
"AAC66975-1",2198
"AAC66974-1",1200
"AAC66973-1",729
"AAC66990-1",1960
"AAC66988-1",1517
"EBG00001182583-1",879204
"AAC66987-1",6075
"AAC66985-1",1443
"AAC66984-1",8681
"AAC66983-1",1005
"AAC66989-1",9417
"EBG00001182586-1",246777
"AAC66982-1",182
"AAC66981-1",1322
"AAB91532-1",825
"AAB91531-1",1261
"AAB91530-1",2281
"AAB91529-1",924
"AAB91528-1",234
"AAB91527-1",172
"AAB91526-1",340
"AAB91525-1",1633
"AAC67000-1",633
"AAC66999-1",470
"AAC66998-1",846
"AAC67003-1",1403
"AAC66997-1",1323
"AAC66995-1",34801
"AAC67002-1",2487
"AAC66994-1",853
"AAC66993-1",5091
"AAC66992-1",2410
"AAC67001-1",6051
"AAC66991-1",326
"AAC67009-1",528
"AAC67008-1",1143
"AAC67007-1",5001
"AAC67006-1",4773
"AAC67005-1",840
"AAC67015-1",4695
"AAC67014-1",776
"AAC67013-1",634
"AAC67012-1",1683
"AAC67011-1",729
"AAC67010-1",726
"AAC67004-1",799
"AAC67025-1",5541
"AAC67024-1",2575
"AAC67023-1",3209
"AAC67022-1",1065
"AAC67021-1",1321
"AAC67020-1",65
"AAC67027-1",609
"AAC67026-1",469
"AAC67019-1",1201
"AAC67018-1",2071
"AAC67017-1",966
"AAC67016-1",372
"AAC67037-1",12705
"AAC67036-1",7225
"AAC67035-1",2869
"AAC67034-1",6662
"AAC67033-1",1955
"AAC67032-1",1045
"AAC67031-1",625
"AAC67030-1",568
"AAC67029-1",2171
"EBG00001182582-1",695318
"AAC67038-1",558
"AAC67028-1",11971
"AAC67051-1",28797
"AAC67050-1",1563
"AAC67049-1",12408
"AAC67048-1",388
"AAC67047-1",437
"AAC67046-1",1711
"AAC67045-1",6603
"AAC67044-1",1306
"AAC67052-1",367
"AAC67043-1",385
"AAC67042-1",1145
"AAC67041-1",1016
"AAC67040-1",1410
"AAC67039-1",1532
"AAC67067-1",2607
"AAC67066-1",200
"EBG00001182589-1",186489
"EBG00001182614-1",327561
"AAC67063-1",1446
"AAC67061-1",4942
"AAC67060-1",1208
"EBG00001182618-1",29982
"AAC67064-1",1245
"AAC67059-1",5888
"AAC67058-1",577
"AAC67057-1",260
"AAC67056-1",627
"AAC67055-1",640
"AAC67075-1",135
"AAC67077-1",784
"AAC67072-1",2202
"AAC67071-1",1050
"AAC67070-1",5211
"AAC67069-1",1630
"AAC67068-1",2656
"AAC67084-1",1001
"AAC67083-1",113
"AAC67082-1",2477
"AAC67086-1",883
"AAC67081-1",1051
"AAC67080-1",5136
"AAC67079-1",493
"AAC67078-1",1837
"AAC67093-1",229
"AAC67092-1",4293
"AAC67091-1",2292
"AAC67095-1",732
"AAC67090-1",8735
"EBG00001182576-1",191032
"EBG00001182617-1",1129439
"AAC67089-1",599
"AAC67088-1",309
"AAC67087-1",667
"AAC67094-1",779
"AAC67108-1",4299
"AAC67106-1",494
"AAC67099-1",676
"AAC67098-1",670
"AAC67104-1",198
"AAC67097-1",1797
"AAC67103-1",277
"EBG00001182598-1",456089
"AAC67102-1",1934
"AAC67101-1",342
"AAC67115-1",260
"AAC67118-1",311
"AAC67114-1",53
"AAC67113-1",126
"AAC67112-1",668
"AAC67111-1",342
"AAC67110-1",472
"AAC67109-1",265
"AET25121-1",324
"AAC67133-1",866
"AAC67138-1",63
"AAC67132-1",1049
"AAC67131-1",3049
"AAC67137-1",2765
"AAC67130-1",1031
"AAC67129-1",3354
"AAC67136-1",790
"AAC67128-1",413
"AAC67127-1",1345
"AAC67126-1",354
"AAC67135-1",505
"AAC67125-1",176
"AAC67124-1",4031
"EBG00001182601-1",669678
"AAC67123-1",6505
"AAC67122-1",2352
"AAC67121-1",1944
"AAC67120-1",22775
"AAC67134-1",1318
"AAC67141-1",995
"AAC67144-1",318
"AAC67140-1",263
"AAC67139-1",4975
"AAC67142-1",535
"AAC67157-1",4403
"AAC67156-1",455
"AAC67155-1",1270
"AAC67154-1",3565
"AAC67153-1",5435
"AAC67152-1",3191
"AAC67151-1",1593
"AAC67150-1",2344
"AAC67149-1",18642
"AAC67160-1",1547
"AAC67148-1",286
"AAC67159-1",346
"AAC67147-1",787
"AAC67146-1",2555
"AAC67158-1",843
"AAC67145-1",678
"AAC67168-1",1064
"AAC67175-1",2488
"AAC67166-1",771
"AAC67165-1",366
"AAC67164-1",541
"AAC67174-1",313
"AAC67163-1",1360
"AAC67172-1",783
"AAC67171-1",2155
"AAC67170-1",2297
"AAC67169-1",120
"AAC67162-1",1998
"AAC67161-1",2157
"AAC67182-1",1475
"AAC67181-1",608
"AAC67180-1",4039
"AAC67183-1",1388
"AAC67179-1",3050
"AAC67178-1",1435
"AAC67177-1",249
"AAC67184-1",1223
"AAC67188-1",499
"AET25122-1",51
"AAC67187-1",175
"AAC67186-1",1281
"AAC67191-1",1264
"AAC67190-1",1117
"AAC67189-1",2622
"AAC67199-1",477
"AAC67192-1",404
"AAC66325-1",789
"AAC66334-1",794
"AAC66333-1",1443
"AAC66324-1",2069
"AAC66323-1",1104
"AAC66322-1",426
"AAC66321-1",967
"AAC66331-1",1525
"AAC66320-1",10749
"AAC66318-1",612
"AAC66317-1",190
"AAC66316-1",714
"AAC66315-1",7045
"AAC66314-1",4655
"AAC66313-1",8850
"AAC66329-1",36115
"AAC66328-1",13310
"AAC66327-1",5287
"AAC66339-1",526
"AAC66338-1",600
"AAC66337-1",656
"AAC66336-1",615
"AAC66335-1",1126
"AAC66326-1",19887
"AAF07429-1",1135
"AAF07430-1",214
"AAF07431-1",117
"AAF07432-1",108
"AAF07403-1",233
"AAF07404-1",69
"AAF07405-1",109
"AAF07406-1",79
"AAF07407-1",93
"AAF07434-1",242
"AAF07435-1",26
"AAF07436-1",33
"AAF07437-1",27
"AAF07438-1",197
"AAF07439-1",165
"AAF07440-1",435
"AAF07441-1",116
"AAF07408-1",270
"AAF07409-1",355
"AAF07410-1",168
"AAF07411-1",930
"AAF07412-1",95
"AAF07413-1",244
"AAF07414-1",72
"AAF07415-1",104
"AAF07416-1",455
"AAF07417-1",506
"AAF07418-1",682
"AAF07419-1",1771
"AAF07420-1",162
"AAF07421-1",298
"AAF07422-1",109
"AAF07423-1",267
"AAF07424-1",520
"AAF07425-1",43
"AAF07426-1",179
"AAF07400-1",378
"AAF07401-1",963
"AAF07427-1",117
"AAF07428-1",135
"AAF07402-1",344
"AAF07474-1",86
"AAF07475-1",11
"AAF07476-1",8
"AAF07477-1",47
"AAF07463-1",0
"AAF07464-1",5
"AAF07465-1",0
"AAF07466-1",5
"AAF07467-1",9
"AAF07479-1",0
"AAF07480-1",0
"AAF07481-1",0
"AAF07482-1",0
"AAF07483-1",20
"AAF07484-1",41
"AAF07485-1",6
"AAF07486-1",0
"AAF07468-1",2
"AAF07469-1",1
"AAF07442-1",4
"AAF07444-1",0
"AAF07445-1",0
"AAF07446-1",40
"AAF07447-1",89
"AAF07470-1",45
"AAF07448-1",2242
"AAF07449-1",1238
"AAF07450-1",408
"AAF07452-1",1549
"AAF07453-1",139
"AAF07454-1",131
"AAF07456-1",281
"AAF07457-1",399
"AAF07458-1",94
"AAF07459-1",73
"AAF07460-1",389
"AAF07461-1",128
"AAF07473-1",51
"AAF07462-1",223
"AAF07516-1",22
"AAF07517-1",50
"AAF07518-1",94
"AAF07519-1",118
"AAF07490-1",108
"AAF07491-1",26
"AAF07492-1",44
"AAF07493-1",94
"AAF07494-1",62
"AAF07520-1",148
"AAF07521-1",14
"AAF07522-1",44
"AAF07523-1",15
"AAF07524-1",97
"AAF07525-1",126
"AAF07526-1",720
"AAF07527-1",133
"AAF07495-1",616
"AAF07496-1",520
"AAF07497-1",152
"AAF07498-1",362
"AAF07499-1",98
"AAF07500-1",0
"AAF07501-1",27
"AAF07502-1",115
"AAF07503-1",1243
"AAF07504-1",381
"AAF07505-1",604
"AAF07506-1",1249
"AAF07507-1",165
"AAF07508-1",225
"AAF07509-1",95
"AAF07510-1",540
"AAF07511-1",123
"AAF07512-1",97
"AAF07487-1",213
"AAF07488-1",134
"AAF07514-1",151
"AAF07515-1",350
"AAF07489-1",275
"AAF07561-1",46
"AAF07562-1",18
"AAF07563-1",12
"AAF07564-1",35
"AAF07565-1",28
"AAF07551-1",19
"AAF07552-1",14
"AAF07553-1",17
"AAF07554-1",32
"AAF07555-1",27
"AAF07566-1",66
"AAF07567-1",5
"AAF07568-1",8
"AAF07569-1",6
"AAF07570-1",64
"AAF07571-1",42
"AAF07556-1",354
"AAF07557-1",28
"AAF07530-1",340
"AAF07531-1",166
"AAF07532-1",43
"AAF07534-1",213
"AAF07535-1",254
"AAF07536-1",123
"AAF07537-1",103
"AAF07538-1",66
"AAF07539-1",461
"AAF07540-1",247
"AAF07541-1",4385
"AAF07542-1",160
"AAF07543-1",257
"AAF07544-1",166
"AAF07545-1",81
"AAF07546-1",114
"AAF07547-1",85
"AAF07548-1",68
"AAF07549-1",325
"AAF07559-1",225
"AAF07560-1",63
"AAF07550-1",68
"AAF07602-1",483
"AAF07603-1",220
"AAF07604-1",91
"AAF07605-1",68
"AAF07583-1",246
"AAF07584-1",49
"AAF07585-1",29
"AAF07586-1",51
"AAF07587-1",53
"AAF07607-1",124
"AAF07608-1",20
"AAF07609-1",25
"AAF07610-1",10
"AAF07611-1",48
"AAF07612-1",33
"AAF07613-1",80
"AAF07614-1",79
"AAF07588-1",223
"AAF07589-1",217
"AAF07590-1",70
"AAF07591-1",435
"AAF07592-1",0
"AAF07593-1",142
"AAF07594-1",30
"AAF07595-1",129
"AAF07596-1",747
"AAF07597-1",919
"AAF07615-1",189
"AAF07572-1",1747
"AAF07573-1",65
"AAF07574-1",222
"AAF07575-1",59
"AAF07576-1",45
"AAF07577-1",191
"AAF07578-1",147
"AAF07579-1",67
"AAF07580-1",33
"AAF07581-1",190
"AAF07601-1",151
"AAF07582-1",147
"AAF07646-1",0
"AAF07647-1",0
"AAF07648-1",0
"AAF07649-1",0
"AAF07627-1",0
"AAF07628-1",0
"AAF07629-1",0
"AAF07630-1",0
"AAF07631-1",0
"AAF07651-1",0
"AAF07652-1",0
"AAF07653-1",0
"AAF07654-1",0
"AAF07655-1",0
"AAF07656-1",0
"AAF07657-1",0
"AAF07658-1",0
"AAF07632-1",112
"AAF07633-1",167
"AAF07634-1",0
"AAF07635-1",0
"AAF07636-1",0
"AAF07637-1",27
"AAF07638-1",4
"AAF07639-1",29
"AAF07640-1",1216
"AAF07641-1",1977
"AAF07642-1",66
"AAF07616-1",3290
"AAF07617-1",128
"AAF07618-1",164
"AAF07620-1",748
"AAF07621-1",61
"AAF07622-1",0
"AAF07623-1",12
"AAF07624-1",0
"AAF07625-1",2
"AAF07644-1",3
"AAF07645-1",1
"AAF07626-1",37
"AAF07681-1",129
"AAF07682-1",28
"AAF07683-1",8
"AAF07684-1",22
"AAF07659-1",4
"AAF07660-1",2
"AAF07661-1",12
"AAF07662-1",20
"AAF07686-1",12
"AAF07687-1",5
"AAF07688-1",20
"AAF07689-1",497
"AAF07663-1",146
"AAF07664-1",537
"AAF07665-1",32
"AAF07666-1",5
"AAF07667-1",0
"AAF07668-1",39
"AAF07669-1",489
"AAF07670-1",1147
"AAF07671-1",1753
"AAF07672-1",87
"AAF07673-1",167
"AAF07674-1",70
"AAF07675-1",71
"AAF07676-1",177
"AAF07677-1",157
"AAF07678-1",118
"AAF07679-1",484
"AAF07690-1",106
"AAF07692-1",42
"AAF07680-1",78
"AAC66310-1",2669
"AAC66302-1",336
"AAC66303-1",292
"AAC66304-1",699
"AAC66305-1",602
"AAC66312-1",138
"AAC66307-1",1582
"AAC66308-1",959
"AET25324-1",3
"AAC66344-1",54
"AAC66343-1",50
"AET25325-1",22
"AAC66353-1",367
"AAC66352-1",247
"AAC66350-1",2469
"AAC66349-1",1284
"AAC66348-1",608
"AAC66346-1",642
"AAC66345-1",2242
"AAC66347-1",362
"AET25326-1",144
"AAC66355-1",670
"AAF07699-1",64
"AAF07700-1",664
"AAF07693-1",2632
"AAF07694-1",711
"AAF07695-1",54
"AAF07696-1",33
"AAF07702-1",10
"AAF07697-1",250
"AAF07703-1",1
"AAF07698-1",15
"AAC66027-1",1559
"AAC66050-1",600
"AAC66051-1",1186
"AAC66028-1",147
"AAC66029-1",447
"AAC66023-1",177
"AAC66024-1",5223
"AAC66025-1",290
"AAC66026-1",642
"AET25131-1",73
"AAC66369-1",27
"AAC66368-1",2844
"AAC66367-1",92
"AAC66382-1",158
"AET25132-1",33
"AAC66365-1",44
"AET25133-1",82
"AAC66376-1",388
"AAC66374-1",101
"AAC66373-1",271
"AAC66372-1",58
"AAC66371-1",345
"AET25134-1",10
"AET25135-1",2
"AET25136-1",337
"AAC66073-1",257
"AAC66053-1",45
"AAC66055-1",141
"AAC66056-1",272
"AAC66057-1",204
"AAC66077-1",458
"AAC66078-1",59
"AAC66063-1",21
"AAC66079-1",18
"AAC66064-1",18
"AAC66065-1",34
"AAC66066-1",17
"AAC66067-1",10
"AAC66068-1",31
"AAC66069-1",121
"AET25409-1",18
"AAC66070-1",45
"AAC66071-1",90
"AAC66072-1",144
"AAC66052-1",10
"AAC66080-1",7
"AAC66058-1",8
"AAC66081-1",28
"AAC66059-1",854
"AAC66082-1",37
"AAC66060-1",80
"AAC66061-1",127
"AAC66062-1",1748
"AAC66083-1",471
"AAC65992-1",35
"AAC65986-1",37
"AAC65991-1",17
"AAC65998-1",1098
"AAC66000-1",140
"AET25416-1",97
"AET25417-1",10
"AAC65987-1",3496
"AAC66021-1",32
"AAC66012-1",77
"AAC66011-1",973
"AAC65993-1",187
"AAC65994-1",285
"AAC65995-1",213
"AAC65996-1",503
"AAC66014-1",80
"AAC66018-1",543
"AAC65988-1",33
"AAC65989-1",67
"AAC66211-1",57
"AAC66189-1",148
"AAC66190-1",115
"AAC66200-1",63
"AAC66202-1",39
"AAC66203-1",247
"AAC66205-1",3699
"AAC66184-1",702
"AAC66185-1",36
"AAC66186-1",352
"AAC66187-1",63
"AAC66191-1",57
"AAC66219-1",428
"AAC66223-1",29
