"","bam.SRR_78_ngm_sorted.bam"
"AAC66406-1",116
"AAC66400-1",239
"AAC66399-1",4797
"AAC66398-1",1165
"AAC66397-1",1388
"AAC66404-1",1776
"AAC66396-1",870
"AAC66403-1",279
"AAC66395-1",1165
"AAC66402-1",2422
"AAC66394-1",434
"AAC66401-1",576
"AAC66393-1",930
"AAC66392-1",1227
"AAC66391-1",1522
"AAC66414-1",308
"AAC66416-1",925
"AAC66410-1",3838
"AAC66409-1",1316
"AAC66415-1",2086
"AAC66408-1",925
"AAC66407-1",3353
"AAC66429-1",9303
"AAC66428-1",2730
"AAC66423-1",467
"AAC66422-1",239
"AAC66421-1",1931
"AAC66427-1",2176
"AAC66420-1",643
"AAC66426-1",11461
"AAC66419-1",1357
"AAC66418-1",2055
"AAC66417-1",673
"AAC66424-1",2060
"AAC66439-1",1020
"AAC66437-1",835
"AAC66443-1",1861
"AAC66442-1",476
"AAC66436-1",1447
"AAC66435-1",1956
"AAC66434-1",1751
"EBG00001182602-1",384853
"AAC66441-1",269
"EBG00001182616-1",113913
"AAC66433-1",364
"AAC66432-1",1162
"AAC66431-1",587
"AAC66430-1",1603
"AAC66457-1",717
"AAC66452-1",4485
"AAC66451-1",15927
"AAC66450-1",31046
"AAC66456-1",4411
"AAC66449-1",3547
"AAC66448-1",1562
"AAC66447-1",2540
"AAC66455-1",759
"AAC66454-1",1901
"AAC66446-1",2481
"AAC66445-1",1162
"AAC66453-1",1694
"AAC66462-1",2685
"AAC66461-1",5647
"AAC66460-1",1581
"AAC66467-1",1125
"AAC66466-1",208
"AAC66459-1",179
"AAC66459-2",1638
"AAC66465-1",464
"AAC66458-1",279
"AAC66474-1",176
"AAC66473-1",244
"AAC66477-1",1458
"AAC66476-1",665
"AAC66472-1",1348
"AAC66475-1",484
"AAC66471-1",1687
"AAC66470-1",4038
"AAC66469-1",13947
"AAC66490-1",4767
"AAC66487-1",2069
"AAC66485-1",908
"AAC66484-1",5134
"AAC66489-1",757
"AAC66482-1",2036
"AAC66488-1",1575
"AAC66481-1",1055
"AAC66480-1",606
"AAC66479-1",1064
"AAC66501-1",2151
"AAC66505-1",435
"AAC66504-1",538
"AAC66500-1",5413
"AAC66499-1",997
"AAC66503-1",1730
"AAC66498-1",1836
"AAC66497-1",1818
"AAC66496-1",2286
"AAC66502-1",834
"AAC66495-1",5276
"AAC66494-1",1505
"AAC66493-1",1092
"AAC66492-1",1717
"AAC66491-1",2896
"AAC66516-1",2491
"AAC66515-1",489
"AAC66514-1",1950
"AAC66517-1",4701
"AAC66513-1",3001
"AAC66512-1",3174
"AAC66511-1",2987
"AAC66522-1",288
"AAC66521-1",1055
"AAC66520-1",1381
"AAC66510-1",6051
"AAC66509-1",3663
"AAC66508-1",1290
"AAC66519-1",300
"AAC66507-1",4090
"AAC66506-1",7356
"AAC66518-1",4941
"AAC66535-1",572
"AAC66531-1",1621
"AAC66530-1",1609
"AAC66529-1",7586
"AAC66534-1",82
"AAC66533-1",344
"AAC66527-1",2300
"AAC66532-1",1952
"AAC66526-1",676
"AAC66525-1",5801
"AAC66524-1",2935
"AAC66523-1",6282
"AAC66541-1",158456
"AAC66539-1",1984
"AAC66538-1",694
"AAC66537-1",3630
"AAC66536-1",4862
"AAC66544-1",2257
"AAC66543-1",262
"AAC66542-1",701
"AAC66550-1",2862
"AAC66555-1",1001
